item,itemLabel,gender,position,positionLabel,startDate,endDate,psid
Q112325588,Alison Manani Magaya,,Q112686903,Interior,2011-08-26,2013-07-23,Q112325588-B37C216D-EFE8-4817-B74D-680A5FA99524
Q112525634,Gier Chuang Aluong,male,Q112686920,Roads and Bridges,2011-08-26,2013-07-23,Q112525634-853D83B9-C518-4B31-B08D-8A51BF67C2AB
Q112685739,Beda Machar Deng,male,Q112700860,Deputy Minister of Agriculture and Forestry,2011-08-26,2013-07-23,Q112685739-CF75BA0F-E5B3-47B1-8304-EBD0A979C711
Q112685857,Martin Elia Lomuro,male,Q112685797,Animal Resources and Fisheries,2011-08-26,2012,Q112685857-EF806CD1-F20E-4A7F-801E-473C5776CDC9
Q112685866,Nadia Arop Dudi,female,Q112712369,Deputy Minister of Animal Resources and Fisheries,2011-08-26,2013-07-23,Q112685866-BE5B8FD9-6761-4715-8F8A-FE77C5B65DB7
Q112686205,Agnes Poni Lokudu,female,Q112686191,Transport,2011-08-26,2013,Q112686205-0AAB73C0-7869-4126-8F33-5AE29DDBDAD5
Q112686329,Gabriel Kuc Abyei,,Q112710626,"Deputy Minister of Higher Education, Science and Technology",2011-08-26,2014,Q112686329-81647180-0A16-4818-82C7-82E563C38A41
Q112686372,Michael Milly Hussein,,Q112669693,Health,2011-08-26,2013-07-23,Q112686372-382F1846-E060-4A01-B3E3-771463405222
Q112686444,Kosti Manibe Ngai,male,Q112686425,Finance and Economic Planning,2011-08-26,2013,Q112686444-A748AA1B-0A6F-4909-A981-481766197188
Q112686445,Marial Awou,male,Q112700849,Deputy Minister of Finance,2011-08-26,2013-07-23,Q112686445-C8B6B094-D2B7-44FE-9740-15DA07FB0711
Q112686513,Rhoda David Alak,female,Q112710782,Deputy Minister of Electricity and Dams,2011-08-26,2012,Q112686513-8BD93E60-055F-465E-9D7C-C2502885E947
Q112686605,Jemma Nunu Kumba,female,Q112686600,Housing and Physical Planning,2011-07,2013-07-23,Q112686605-ED439CE1-A595-4CE5-8000-28E6F6590A1E
