prefix,itemLabel
,James Wani Igga
,Onyoti Adigo Nyikwac
,Daniel Awet Akot
,Anthony Lino Makana
,Awut Deng Achuil
,Agnes Kwaje Lasuba
,Barnaba Marial Benjamin
,David Deng Athorbei
,Gier Chuang Aluong
,James Kok Ruea
Dr.,Luka T. Monoja
,Madut Biar Yel
,Michael Makuei Lueth
,Nhial Deng Nhial
,Nyalok Tiong Gatluak
,Paul Mayom Akec
,Bangout Amum Okiech
,Andrew Okong Ayom
,Aleu Ayieny Aleu
Prof.,Barri A. Wanji
,Timothy Tut Chuol
,Dengtiel A. Kur
,Daniel Deng Monydit
,Joy Kwaje Eluzai
,Kom Kom Geng
,Angelina Nyamouka Magoun
,James Lual Deng
,Henry Dilah Odwar
,Pascal Bandindi Uru
,Debora Ajok Garang
Dr.,Martha Martin Dak
,James Janka Duku
,Stephen Ajongo Akol
,Mathew Mathiang Deang
,James Reat Gony
,Mary Kiden Kimbo
,David Okuer Akwany
,Henry Omai Akolawin
,Kur Akol Deng
,Parmena Awerial Along
,Umjuma Juma Sabil
,Lucy Iyaya Loki
,Kutin Bayak Gil
,Remijo Lasu Peter
,Ruai Kuol Jal
,Jasmine Samuel Adakayi
,Mary Atong Bak
,Mary Nawai Martin
,Mary Kiden Enoka
,Akuot Deng Kawal
,Gordon Matot Tut
,Ngong Deng Gum
,Betty Achan Ogwaro
,Asha Abboz Akuei
,Abuk Malual Aken
,Abuk Payit Ayik
,Achol Barouk Akasha
,Adeng Leek Deng
,Agyou Agyou Thiep
,Akon Bol Akok
,Alfred Wol Acwal
,Akon Diang Athian
,Akot Dau Niyok
,Angelo Lokinga Lohita
,Angoryang Mark Loifidi
,Arop Madut Arop
,Aya Janet Alex
,Bataria Mirror Maker
,Beatrice Aber Samson
,Benjamin Malek Alier
,Barnardo Kpasira Martin
,Bidali Moses Onesimo
,Bellario Ahoy Ngong
,Bul Andrea Cosmas
,Charles Majak Alier
,Charles Wello Onyony
Dr.,David Nailo Mayo
,David Gai Chan
,David Unyo Demey
,David Yien Bilieth
,Deng Dau Deng
,Dousman Joyce James
,Elias Mathuc
,Elizabeth Adut Mel
,Elizabeth Nyaluac Tap
,Emelia Aluel Bol
,Elizabeth Nyawac Chol
,Fatima Nyawang Biliu
,Festo Faustino Kumba
,Francis Lokurnyang Angou
,Garang Deng Akong
,Gatwech Lam Puoch
