item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q112726570,Abdun Gatjiek Gatluak,,,,,2021-07-03,,,Q112726570-5F77D704-B5F7-4917-A54A-9C5552BB8563
Q112726571,Ajuet Rehan Muon Ajuet,,,,,2021-07-03,,,Q112726571-8C275A0E-45C3-4445-9451-54EE8D6D2284
Q4713878,Aldo Ajou Deng,,,,,2021-07-03,,male,Q4713878-CFF49674-EB08-437C-B2AB-583836F6284A
Q112725995,Alice Odok Kiir,,,,,2021-07-03,,female,Q112725995-C835E7C2-6921-4FA9-BE1A-956BAF00436E
Q112726577,Anei Ngong Anei,,,,,2021-07-03,,,Q112726577-968BBC22-A631-4449-A5E7-AC48DF5780AD
Q112726579,Angelo Beda Gbangbura,,,,,2021-07-03,,,Q112726579-F4EBE92C-2F7B-459D-9D0E-D28B2E213DEC
Q112726580,Anisia Achieng Karlo,,,,,2021-07-03,,,Q112726580-A7FE1847-2282-474E-999A-9E9CC88C1A99
Q112726001,Arthur Akuien Chol,,,,,2021-07-03,,male,Q112726001-108F2466-B359-4981-B7B5-D7B28430CBBC
Q112726581,Arun Lual Run,,,,,2021-07-03,,,Q112726581-D36CCEA2-8C17-4F10-8F64-3BDD18F8AF06
Q112726028,Athian Athian Kuot,,,,,2021-07-03,,male,Q112726028-CFB135B5-470E-4323-AE06-D081CEC2EF90
Q112726583,Awadh Juma Aman Marjal,,,,,2021-07-03,,,Q112726583-1DF2A249-44C9-45D1-9875-CE2CDE7A3CF8
Q112726584,Bapiny Manytuil Wejang,,,,,2021-07-03,,,Q112726584-0A40596E-34E0-4BC6-AEF7-2A3B1813E40A
Q112726585,Bashir Abdelrahman,,,,,2021-07-03,,,Q112726585-B89AC656-2741-41BF-937C-D82B9C066031
Q112726587,Bepin Sabino Ajawin,,,,,2021-07-03,,,Q112726587-23024E7C-9A90-41B8-9E53-35222BEECBFC
Q112726588,Celestino Joseph Mahmoud,,,,,2021-07-03,,,Q112726588-194AC81B-8D5B-4870-AD76-BA12E136F714
Q112726589,Celino Saturino Swaka Daniel,,,,,2021-07-03,,,Q112726589-E6DB0FA4-904C-4DB5-B3CE-7A91F81E372E
Q112726003,Chan Malual Chan,,,,,2021-07-03,,,Q112726003-6347A844-3822-474A-AAB1-34FCE6374CFF
Q112726590,Chuol Rambang Luoth,,,,,2021-07-03,,,Q112726590-536ADCC0-0FAD-4364-8247-9D434806CEEE
Q112726592,Cirilo Chol Dut Noon,,,,,2021-07-03,,,Q112726592-3993522F-0EC3-4029-AE81-060B91D1FCE3
Q112726593,Daniel Deng Lual,,,,,2021-07-03,,,Q112726593-2F058C50-2041-406B-875D-0183B57A7A2A
Q112686016,Deng Deng Akoon,,,,,2021-07-03,,,Q112686016-3D1EB439-5C2A-4353-AFD5-A912ACCB6D4B
Q112726594,Denis Oreng Ofilang Itorong,,,,,2021-07-03,,,Q112726594-CF8A7EB2-C031-4EA6-AE59-410CE0257E00
Q112726595,Dhalkon Ricardo Ugal,,,,,2021-07-03,,,Q112726595-BD0DA5FD-E975-43F7-B394-1C383A1C5DAD
